time,P,G(i),H_sun,T2m,WS10m,Int
20150101:0002,0,0,0,19.5,2.55,0
20150101:0102,0,0,0,18.39,1.79,0
20150101:0202,0,0,0,18.98,1.03,0
20150101:0302,0,0,0,19.13,0.14,0
20150101:0402,46.44,19.01,3.56,18.82,0.41,0
20150101:0502,435.24,95.84,15.12,19.01,0.55,0
20150101:0602,937.38,209.78,27.17,20.38,1.38,0
20150101:0702,1680.06,345.5,39.51,21.34,3.1,0
20150101:0802,2710.26,516.8,51.94,22.51,2.9,0
20150101:0902,3617.82,680.57,64.11,23.54,3.03,0
20150101:1002,4306.62,812.26,74.92,24.32,3.59,0
20150101:1102,4783.62,905.51,78.68,24.68,4.14,0
20150101:1202,5179.5,982.46,70.67,24.7,4.48,0
20150101:1302,5262.24,988.38,59.01,24.3,5.38,0
20150101:1402,5183.76,965.2,46.66,23.77,5.66,0
20150101:1502,4145.46,759.22,34.25,23.2,5.79,0
20150101:1602,3628.92,657.56,22.01,22.4,5.79,0
20150101:1702,1851.9,338.59,10.14,21.46,5.66,0
20150101:1802,0,0,0,20.48,4.97,0
20150101:1902,0,0,0,19.75,4.76,0
20150101:2002,0,0,0,19.37,4.21,0
20150101:2102,0,0,0,19.03,4.28,0
20150101:2202,0,0,0,18.58,4.28,0
20150101:2302,0,0,0,18.35,4.21,0
20150102:0002,0,0,0,18.05,4,0
20150102:0102,0,0,0,17.8,3.72,0
20150102:0202,0,0,0,17.65,3.45,0
20150102:0302,0,0,0,17.38,3.03,0
20150102:0402,43.14,18.1,3.43,17.13,2.62,0
20150102:0502,113.94,36.3,14.99,17.94,2.48,0
20150102:0602,650.88,176.86,27.04,19.46,2.55,0
20150102:0702,1655.94,342.52,39.38,21.16,3.03,0
20150102:0802,2714.52,515.12,51.81,22.22,3.59,0
20150102:0902,3655.56,679.82,63.98,22.99,4.14,0
20150102:1002,4378.74,815.61,74.79,23.44,4.48,0
20150102:1102,4742.94,890.32,78.62,23.66,4.48,0
20150102:1202,4927.8,929.87,70.69,23.77,4.34,0
20150102:1302,5168.88,976.72,59.06,23.73,4.34,0
20150102:1402,3156.54,584.28,46.72,23.39,4.28,0
20150102:1502,3831.78,706.32,34.3,22.63,4.07,0
20150102:1602,1357.86,255.85,22.05,21.89,3.93,0
20150102:1702,1487.52,276.22,10.18,21.09,4,0
20150102:1802,0,0,0,20.11,3.31,0
20150102:1902,0,0,0,19.71,2.21,0
20150102:2002,0,0,0,19.26,1.66,0
20150102:2102,0,0,0,18.46,1.38,0
20150102:2202,0,0,0,18.26,0.9,0
20150102:2302,0,0,0,18.45,0.41,0
20150103:0002,0,0,0,18.13,0.21,0
20150103:0102,0,0,0,17.72,0.62,0
20150103:0202,0,0,0,16.59,1.38,0
20150103:0302,0,0,0,15.55,1.66,0
20150103:0402,39.78,17.2,3.29,15.48,1.38,0
20150103:0502,361.56,80.66,14.85,16.43,1.1,0
20150103:0602,1075.5,211.27,26.91,18.88,1.31,0
20150103:0702,1688.22,320.25,39.25,20.8,2.48,0
20150103:0802,2581.02,483.84,51.68,22.2,3.79,0
20150103:0902,3327.06,619.07,63.85,23.21,4.76,0
20150103:1002,3315.3,616.08,74.65,23.61,5.38,0
20150103:1102,4761.54,888.22,78.55,23.89,5.38,0
20150103:1202,5233.44,980.88,70.71,23.93,5.38,0
20150103:1302,4905.36,915.46,59.1,24.02,5.66,0
20150103:1402,3823.44,703.54,46.77,23.7,5.93,0
20150103:1502,1005.18,196.19,34.35,22.78,5.86,0
20150103:1602,485.46,104.06,22.1,22,5.52,0
20150103:1702,175.38,46.35,10.21,20.94,4.76,0
20150103:1802,0,0,0,20.08,4.21,0
20150103:1902,0,0,0,19.72,4.21,0
20150103:2002,0,0,0,19.53,4,0
20150103:2102,0,0,0,19.27,3.59,0
20150103:2202,0,0,0,18.99,3.17,0
20150103:2302,0,0,0,18.69,2.76,0
20150104:0002,0,0,0,18.23,2.28,0
20150104:0102,0,0,0,17.77,1.79,0
20150104:0202,0,0,0,17.61,1.59,0
20150104:0302,0,0,0,17.29,1.52,0
20150104:0402,21.6,12.67,3.15,17.55,1.52,0
20150104:0502,492.12,104.08,14.72,18.24,1.45,0
20150104:0602,863.34,198.34,26.77,18.79,1.45,0
20150104:0702,1707.24,344.16,39.12,20.34,3.45,0
20150104:0802,2695.68,507.49,51.54,21.63,4.41,0
20150104:0902,3588.66,663.79,63.71,22.58,4.83,0
20150104:1002,4241.1,786.63,74.51,23.41,5.17,0
20150104:1102,4928.28,916.45,78.48,23.8,5.72,0
20150104:1202,5258.4,979.5,70.73,23.69,6,0
20150104:1302,5308.14,985.6,59.14,23.21,6.14,0
20150104:1402,5163.48,953.03,46.82,22.51,5.93,0
20150104:1502,4233.78,772.37,34.39,21.85,5.45,0
20150104:1602,3310.2,598.22,22.14,21.27,5.03,0
20150104:1702,1703.1,312.43,10.24,20.54,4.55,0
20150104:1802,0,0,0,19.66,3.66,0
20150104:1902,0,0,0,19.39,3.59,0
20150104:2002,0,0,0,19.09,3.72,0
20150104:2102,0,0,0,18.8,4,0
20150104:2202,0,0,0,18.57,4.07,0
20150104:2302,0,0,0,18.38,4.28,0
20150105:0002,0,0,0,18.21,4.55,0
20150105:0102,0,0,0,18.29,4.62,0
20150105:0202,0,0,0,18.39,4.83,0
20150105:0302,0,0,0,18.52,4.97,0
20150105:0402,3.84,7.24,3.01,18.68,5.03,0
20150105:0502,257.22,61.54,14.57,19.01,5.38,0
20150105:0602,982.8,191.61,26.63,19.5,5.66,0
20150105:0702,1743.24,326.02,38.98,19.77,5.79,0
20150105:0802,2085.9,383.85,51.4,20.58,6.55,0
20150105:0902,2897.76,529.46,63.57,21.03,6.76,0
20150105:1002,3246.66,594.54,74.36,21.64,6.55,0
20150105:1102,4165.2,765.37,78.39,21.94,6.21,0
20150105:1202,4165.98,767.04,70.73,21.82,5.66,0
20150105:1302,4761.12,879.96,59.18,21.92,5.38,0
20150105:1402,4308.06,793.81,46.86,22.25,5.03,0
20150105:1502,3856.8,707.76,34.43,22.19,4.41,0
20150105:1602,2137.5,392.15,22.17,22.08,3.93,0
20150105:1702,854.82,167.63,10.27,21.35,3.31,0
20150105:1802,0,0,0,20.54,2.55,0
20150105:1902,0,0,0,19.86,2.34,0
20150105:2002,0,0,0,19.6,1.86,0
20150105:2102,0,0,0,19.53,1.79,0
20150105:2202,0,0,0,19.32,1.45,0
20150105:2302,0,0,0,18.99,1.17,0
20150106:0002,0,0,0,18.72,1.17,0
20150106:0102,0,0,0,19.13,2.14,0
20150106:0202,0,0,0,18.91,3.03,0
20150106:0302,0,0,0,18.44,3.59,0
20150106:0402,28.38,14.48,2.86,18.1,3.86,0
20150106:0502,253.02,60.64,14.43,18.35,4.21,0
20150106:0602,633.84,170.62,26.49,19.04,4.28,0
20150106:0702,1598.94,332.1,38.84,20.6,3.93,0
20150106:0802,2672.64,505.89,51.26,22.07,4.55,0
20150106:0902,3633.48,672.07,63.42,23.31,5.31,0
20150106:1002,4397.76,813.4,74.21,24.25,6,0
20150106:1102,4983,923.83,78.3,24.67,6.76,0
20150106:1202,5312.52,985.43,70.73,24.73,7.38,0
20150106:1302,5404.2,999.23,59.21,24.57,7.86,0
